t_ms,control,pd
681.60000,0.49703,0.02447
684.80000,0.49461,0.03001
688.00000,0.49146,0.03788
691.20000,0.48770,0.05200
694.50000,0.48325,0.12256
697.70000,0.47830,0.46473
700.90000,0.47241,0.49746
704.10000,0.46452,0.49950
707.30000,0.45004,0.49908
710.50000,0.36403,0.49802
713.70000,0.10717,0.49636
717.00000,0.02796,0.49405
720.20000,0.00767,0.49128
723.40000,0.00226,0.48806
726.60000,0.00098,0.48442
729.80000,0.00096,0.48032
733.00000,0.00147,0.47561
736.30000,0.00237,0.46962
739.50000,0.00360,0.46125
742.70000,0.00519,0.44310
745.90000,0.00716,0.28545
749.10000,0.00954,0.07858
752.30000,0.01237,0.02134
755.50000,0.01572,0.00585
758.80000,0.01987,0.00166
762.00000,0.02484,0.00071
765.20000,0.03137,0.00066
768.40000,0.04122,0.00098
771.60000,0.06240,0.00153
774.80000,0.31010,0.00231
778.10000,0.48772,0.00336
781.30000,0.49891,0.00465
784.50000,0.49911,0.00621
787.70000,0.49790,0.00806
790.90000,0.49585,0.01023
794.10000,0.49303,0.01274
797.30000,0.48955,0.01566
800.60000,0.48536,0.01919
803.80000,0.48072,0.02332
807.00000,0.47535,0.02850
810.20000,0.46863,0.03561
813.40000,0.45842,0.04740
816.60000,0.43049,0.08240
819.90000,0.19004,0.43213
