freq_hz,control_mean,control_sem,pd_mean,pd_sem
2.175000e+01,1.718513e-02,1.181518e-03,1.298045e-02,8.125013e-04
2.200000e+01,1.661482e-02,1.100269e-03,1.270344e-02,7.853348e-04
2.225000e+01,1.610288e-02,1.051083e-03,1.273282e-02,8.476142e-04
2.250000e+01,1.623920e-02,1.086232e-03,1.275313e-02,9.418483e-04
2.275000e+01,1.601717e-02,1.078718e-03,1.240886e-02,8.512967e-04
2.300000e+01,1.620372e-02,1.135235e-03,1.235026e-02,8.693408e-04
2.325000e+01,1.635889e-02,1.131273e-03,1.216255e-02,9.022539e-04
2.350000e+01,1.586482e-02,1.090929e-03,1.183534e-02,8.173754e-04
2.375000e+01,1.577916e-02,1.122465e-03,1.167276e-02,7.568816e-04
2.400000e+01,1.560119e-02,1.099389e-03,1.159831e-02,8.221367e-04
2.425000e+01,1.513269e-02,1.051285e-03,1.122201e-02,7.736612e-04
2.450000e+01,1.511781e-02,1.094371e-03,1.104810e-02,7.578320e-04
2.475000e+01,1.453534e-02,1.027123e-03,1.063688e-02,7.203871e-04
2.500000e+01,1.407576e-02,9.912371e-04,1.051015e-02,7.298362e-04
2.525000e+01,1.370551e-02,9.747065e-04,1.037018e-02,7.223616e-04
2.550000e+01,1.348255e-02,1.028679e-03,1.029997e-02,7.156119e-04
2.575000e+01,1.353465e-02,1.037129e-03,1.054006e-02,7.923695e-04
2.600000e+01,1.343167e-02,1.048098e-03,1.039779e-02,8.082333e-04
2.625000e+01,1.302722e-02,1.056057e-03,1.020463e-02,7.737655e-04
2.650000e+01,1.297279e-02,1.133281e-03,1.031667e-02,8.019937e-04
2.675000e+01,1.281866e-02,1.161632e-03,1.012343e-02,8.041121e-04
2.700000e+01,1.228255e-02,1.115821e-03,9.819946e-03,7.123370e-04
2.725000e+01,1.239227e-02,1.089101e-03,9.542178e-03,6.557865e-04
2.750000e+01,1.256418e-02,1.156465e-03,9.582503e-03,7.021901e-04
2.775000e+01,1.256752e-02,1.229331e-03,9.622159e-03,6.994598e-04
2.800000e+01,1.264601e-02,1.295076e-03,9.327183e-03,6.650121e-04
2.825000e+01,1.234344e-02,1.314867e-03,9.254959e-03,6.750483e-04
2.850000e+01,1.194305e-02,1.201993e-03,9.179968e-03,6.725436e-04
2.875000e+01,1.166801e-02,1.186844e-03,9.086567e-03,6.439346e-04
2.900000e+01,1.154490e-02,1.174674e-03,8.959464e-03,6.816103e-04
2.925000e+01,1.150523e-02,1.209367e-03,8.989399e-03,7.087221e-04
2.950000e+01,1.185904e-02,1.288284e-03,8.910816e-03,6.587147e-04
2.975000e+01,1.162843e-02,1.260920e-03,8.922786e-03,6.756109e-04
3.000000e+01,1.159603e-02,1.200602e-03,8.905834e-03,7.160230e-04
3.025000e+01,1.136926e-02,1.151399e-03,8.650742e-03,6.776460e-04
3.050000e+01,1.146892e-02,1.254809e-03,8.487948e-03,6.194476e-04
3.075000e+01,1.142471e-02,1.260705e-03,8.674244e-03,6.627610e-04
3.100000e+01,1.107535e-02,1.219004e-03,8.798535e-03,6.936728e-04
3.125000e+01,1.116179e-02,1.256738e-03,8.845244e-03,7.183037e-04
3.150000e+01,1.105557e-02,1.230156e-03,8.812897e-03,7.222227e-04
3.175000e+01,1.110705e-02,1.188827e-03,8.754316e-03,7.386816e-04
3.200000e+01,1.086530e-02,1.173101e-03,8.744429e-03,7.213751e-04
3.225000e+01,1.080788e-02,1.237649e-03,8.664786e-03,6.925291e-04
3.250000e+01,1.101658e-02,1.263255e-03,8.601336e-03,6.714063e-04
3.275000e+01,1.123836e-02,1.196647e-03,8.445111e-03,6.642662e-04
3.300000e+01,1.078865e-02,1.134308e-03,8.222835e-03,6.681984e-04
3.325000e+01,1.074364e-02,1.214054e-03,8.331577e-03,6.686192e-04
3.350000e+01,1.064690e-02,1.225045e-03,8.460202e-03,6.734155e-04
3.375000e+01,1.054336e-02,1.164131e-03,8.349834e-03,6.814166e-04
3.400000e+01,1.058734e-02,1.164577e-03,8.460267e-03,7.939034e-04
3.425000e+01,1.068500e-02,1.224558e-03,8.439850e-03,7.049495e-04
3.450000e+01,1.061939e-02,1.223833e-03,8.410707e-03,6.888543e-04
3.475000e+01,1.044103e-02,1.211175e-03,8.476972e-03,7.450827e-04
3.500000e+01,1.041383e-02,1.246794e-03,8.413789e-03,7.340895e-04
